,Date,Mean_temp,Max_temp,Min_temp,Mean_dwp,Max_dwp,Min_dwp,Pressure,Humidity,Wind,Clouds,Description
0,2019-01-18 18:56:00,22.3,22.8,21.7,15.3,15.8,14.7,1020,65,4.6,20,Clouds
0,2019-01-18 19:56:00,24.24,25,23.3,16.64,17.4,15.700000000000001,1020,62,5.1,1,Clear
0,2019-01-18 20:56:00,25.06,25.6,24.4,16.06,16.6,15.399999999999999,1020,55,6.2,40,Clouds
0,2019-01-18 21:56:00,25.66,26.7,24.4,17.259999999999998,18.299999999999997,15.999999999999998,1020,58,6.7,75,Clouds
0,2019-01-18 22:56:00,25.06,25.6,24.4,16.659999999999997,17.200000000000003,15.999999999999998,1019,58,6.7,20,Clouds
0,2019-01-18 23:56:00,25.06,25.6,24.4,16.659999999999997,17.200000000000003,15.999999999999998,1018,58,5.7,20,Clouds
0,2019-01-19 00:56:00,24.84,25.6,23.9,16.64,17.400000000000002,15.7,1018,59,6.2,20,Clouds
0,2019-01-19 01:56:00,24.73,25,24.4,16.33,16.6,15.999999999999998,1017,58,5.1,90,Clouds
0,2019-01-19 02:56:00,24.01,25,22.8,16.61,17.6,15.4,1018,63,5.1,90,Clouds
0,2019-01-19 03:56:00,23.41,23.9,22.8,16.41,16.9,15.8,1018,65,4.6,90,Clouds
0,2019-01-19 05:28:00,22.2,22.2,22.2,15.799999999999999,15.799999999999999,15.799999999999999,1019,68,7.2,90,Clouds
0,2019-01-19 05:56:00,21.32,22.2,20.6,14.92,15.799999999999999,14.200000000000001,1020,68,7.2,90,Clouds
0,2019-01-19 07:10:00,20.92,22.2,20,14.520000000000001,15.799999999999999,13.6,1020,68,7.2,90,Clouds
0,2019-01-19 07:56:00,21.26,22.8,20,14.860000000000001,16.4,13.6,1021,68,7.2,90,Clouds
0,2019-01-19 09:15:00,21.79,22.8,21.1,15.389999999999999,16.4,14.700000000000001,1021,68,7.2,90,Clouds
0,2019-01-19 10:05:00,21.57,22.2,21.1,15.77,16.4,15.3,1021,71,5.7,75,Clouds
0,2019-01-19 11:32:00,20.7,22.8,19.4,14.7,16.8,13.399999999999999,1020,70,5.1,90,Clouds
0,2019-01-19 12:11:00,20.53,22.8,18.9,14.13,16.4,12.499999999999998,1020,68,5.1,90,Clouds
0,2019-01-19 12:56:00,20.65,22.8,18.9,14.649999999999999,16.8,12.899999999999999,1020,70,5.7,90,Clouds
0,2019-01-19 14:27:00,20.43,22.8,18.9,14.43,16.8,12.899999999999999,1019,70,4.6,90,Clouds
0,2019-01-19 14:56:00,20.06,22.2,18.3,14.659999999999998,16.799999999999997,12.9,1019,73,5.1,90,Clouds
0,2019-01-19 15:56:00,19.73,22.8,17.2,13.73,16.8,11.2,1019,70,6.7,75,Clouds
0,2019-01-19 17:56:00,19.81,22.2,17.8,14.409999999999998,16.799999999999997,12.4,1020,73,7.2,40,Clouds
0,2019-01-19 17:56:00,19.81,22.2,17.8,14.409999999999998,16.799999999999997,12.4,1020,73,7.2,40,Clouds
0,2019-01-19 18:56:00,23.3,23.9,22.8,17.3,17.9,16.8,1020,70,6.7,20,Clouds
0,2019-01-19 19:56:00,24.17,24.4,23.9,18.17,18.4,17.9,1021,70,6.2,75,Clouds
0,2019-01-19 20:56:00,25,25,25,18.2,18.2,18.2,1020,66,7.2,75,Clouds
0,2019-01-19 21:56:00,26.1,26.1,26.1,18.5,18.5,18.5,1020,62,6.7,40,Clouds
0,2019-01-19 22:56:00,26.1,26.1,26.1,18.900000000000002,18.900000000000002,18.900000000000002,1019,64,7.2,20,Clouds
0,2019-01-19 23:56:00,25.83,26.1,25.6,18.63,18.900000000000002,18.400000000000002,1018,64,6.7,20,Clouds
0,2019-01-20 00:56:00,26.43,26.7,26.1,19.23,19.5,18.900000000000002,1017,64,6.2,20,Clouds
0,2019-01-20 01:56:00,25.33,25.6,25,18.93,19.200000000000003,18.6,1017,68,6.7,40,Clouds
0,2019-01-20 02:56:00,25.66,26.7,24.4,19.259999999999998,20.299999999999997,18.0,1017,68,5.7,1,Clear
0,2019-01-20 04:36:00,24.35,25,23.3,19.950000000000003,20.6,18.9,1017,78,5.7,90,Clouds
0,2019-01-20 04:56:00,23.3,23.3,23.3,18.9,18.9,18.9,1017,78,6.7,75,Clouds
0,2019-01-20 06:00:00,21.79,23.3,20.6,17.39,18.9,16.200000000000003,1018,78,5.7,20,Clouds
0,2019-01-20 06:56:00,21.5,23.3,20,17.1,18.9,15.6,1019,78,6.7,40,Clouds
0,2019-01-20 07:56:00,21.17,23.3,19.4,16.770000000000003,18.9,14.999999999999998,1019,78,6.7,1,Clear
0,2019-01-20 08:56:00,21.5,23.3,20,17.7,19.5,16.2,1019,81,7.2,40,Clouds
0,2019-01-20 09:56:00,20.89,23.3,18.9,17.09,19.5,15.099999999999998,1019,81,6.2,20,Clouds
0,2019-01-20 11:38:00,20.69,22.8,19.4,16.89,19.0,15.599999999999998,1018,81,3.6,40,Clouds
0,2019-01-20 11:56:00,20.94,22.8,19.4,17.14,19.0,15.599999999999998,1018,81,4.1,20,Clouds
0,2019-01-20 12:56:00,20.4,22.2,18.9,16.599999999999998,18.4,15.099999999999998,1018,81,2.1,1,Clear
0,2019-01-20 14:07:00,19.37,20,18.9,17.17,17.8,16.7,1017,89,2.6,20,Clouds
0,2019-01-20 14:56:00,20.33,21.1,19.4,18.93,19.700000000000003,18.0,1017,93,2.1,1,Clear
0,2019-01-20 15:56:00,21.26,22.8,19.4,19.860000000000003,21.400000000000002,18.0,1017,93,3.1,20,Clouds
0,2019-01-20 16:56:00,21.26,22.8,19.4,19.26,20.8,17.4,1017,90,2.1,1,Clear
0,2019-01-20 17:56:00,21.53,23.3,19.4,19.53,21.3,17.4,1018,90,3.1,1,Clear
0,2019-01-20 18:56:00,24.33,25.6,22.8,20.529999999999998,21.8,19.0,1018,81,2.1,20,Clouds
0,2019-01-20 19:56:00,25.87,26.1,25.6,19.47,19.700000000000003,19.200000000000003,1019,68,2.56,20,Clouds
0,2019-01-20 20:56:00,26.7,27.2,26.1,19.9,20.4,19.3,1019,66,3.1,20,Clouds
0,2019-01-20 21:56:00,27.3,27.8,26.7,20.1,20.6,19.5,1018,64,3.6,1,Clear
0,2019-01-20 22:56:00,27.53,27.8,27.2,18.330000000000002,18.6,18.0,1017,54,4.1,1,Clear
0,2019-01-20 23:56:00,27.57,28.3,26.7,18.37,19.1,17.5,1016,54,5.1,1,Clear
0,2019-01-21 00:56:00,27.53,27.8,27.2,17.93,18.200000000000003,17.6,1015,52,4.6,1,Clear
0,2019-01-21 01:56:00,26.7,27.2,26.1,18.299999999999997,18.799999999999997,17.700000000000003,1015,58,4.6,40,Clouds
0,2019-01-21 01:56:00,26.71,27.2,26.1,18.310000000000002,18.799999999999997,17.700000000000003,1015,58,4.6,40,Clouds
0,2019-01-21 02:56:00,26.21,26.7,25.6,19.01,19.5,18.400000000000002,1015,64,4.1,1,Clear
0,2019-01-21 03:56:00,25.05,25.6,24.4,18.25,18.8,17.599999999999998,1016,66,2.6,1,Clear
0,2019-01-21 03:56:00,25.05,25.6,24.4,18.25,18.8,17.599999999999998,1016,66,2.6,1,Clear
0,2019-01-21 04:56:00,23.4,23.9,22.8,18.4,18.9,17.8,1016,75,2.1,1,Clear
0,2019-01-21 05:56:00,22.9,23.9,21.7,19.099999999999998,20.099999999999998,17.9,1016,81,2.1,1,Clear
0,2019-01-21 06:56:00,22.3,23.3,21.1,19.1,20.1,17.900000000000002,1017,84,2.6,1,Clear
0,2019-01-21 07:56:00,23.17,24.4,21.7,19.37,20.599999999999998,17.9,1017,81,1.5,90,Clouds
0,2019-01-21 08:56:00,22.57,23.3,21.7,18.77,19.5,17.9,1017,81,2.1,75,Clouds
0,2019-01-21 09:56:00,22.62,23.9,21.1,20.02,21.299999999999997,18.5,1017,87,1.5,75,Clouds
0,2019-01-21 10:56:00,22.4,23.9,20.6,20.4,21.9,18.6,1016,90,2.1,20,Clouds
0,2019-01-21 11:56:00,23.07,23.3,22.8,19.87,20.1,19.6,1017,84,2.6,40,Clouds
0,2019-01-21 12:56:00,22.8,22.8,22.8,19.0,19.0,19.0,1016,81,4.6,1,Clear
0,2019-01-21 14:03:00,24.16,24.4,23.9,19.36,19.599999999999998,19.099999999999998,1016,76,4.6,75,Clouds
0,2019-01-21 14:56:00,23.63,23.9,23.3,19.83,20.099999999999998,19.5,1016,81,5.7,75,Clouds
0,2019-01-21 15:56:00,23.3,23.3,23.3,18.9,18.9,18.9,1016,78,4.1,40,Clouds
0,2019-01-21 16:56:00,22.98,23.9,22.2,17.58,18.5,16.799999999999997,1017,73,5.7,90,Clouds
0,2019-01-21 17:56:00,23.53,24.4,22.8,18.130000000000003,19.0,17.4,1017,73,6.2,40,Clouds
0,2019-01-21 18:56:00,25,25,25,19.2,19.2,19.2,1018,71,4.1,40,Clouds
0,2019-01-21 19:56:00,26.43,26.7,26.1,19.23,19.5,18.900000000000002,1018,64,6.2,20,Clouds
0,2019-01-21 20:56:00,26.97,27.2,26.7,19.369999999999997,19.6,19.1,1018,62,6.7,1,Clear
0,2019-01-21 21:56:00,27.47,27.8,27.2,19.07,19.4,18.799999999999997,1018,58,6.7,20,Clouds
0,2019-01-21 22:56:00,28.3,28.3,28.3,18.1,18.1,18.1,1017,49,7.7,1,Clear
0,2019-01-21 23:56:00,27.53,27.8,27.2,18.330000000000002,18.6,18.0,1017,54,6.2,1,Clear
0,2019-01-22 00:56:00,27.3,27.8,26.7,18.9,19.4,18.299999999999997,1016,58,5.1,1,Clear
0,2019-01-22 01:56:00,27.3,27.8,26.7,18.5,19.0,17.9,1015,56,5.7,1,Clear
0,2019-01-22 02:56:00,26.2,26.7,25.6,19.0,19.5,18.400000000000002,1015,64,4.6,1,Clear
0,2019-01-22 03:56:00,25.05,25.6,24.4,19.25,19.8,18.599999999999998,1016,71,2.6,1,Clear
0,2019-01-22 04:56:00,23.3,23.3,23.3,18.5,18.5,18.5,1016,76,1.85,40,Clouds
0,2019-01-22 05:56:00,22.2,22.2,22.2,18.4,18.4,18.4,1017,81,2.1,1,Clear
0,2019-01-22 06:56:00,21.2,21.7,20.6,18.4,18.9,17.8,1017,86,2.6,1,Clear
0,2019-01-22 07:56:00,20.6,20.6,20.6,17.400000000000002,17.400000000000002,17.400000000000002,1017,84,3.6,1,Clear
0,2019-01-22 08:56:00,21.47,22.2,20.6,18.27,19.0,17.400000000000002,1017,84,2.1,40,Clouds
0,2019-01-22 09:56:00,20.92,21.7,20,18.32,19.099999999999998,17.4,1017,87,3.6,40,Clouds
0,2019-01-22 10:56:00,20.05,20.6,19.4,17.45,18.0,16.799999999999997,1017,87,2.1,40,Clouds
0,2019-01-22 12:09:00,20.37,21.1,19.4,17.17,17.900000000000002,16.2,1017,84,4.1,20,Clouds
0,2019-01-22 12:56:00,19.82,20.6,18.9,16.42,17.200000000000003,15.499999999999998,1017,83,2.1,40,Clouds
0,2019-01-22 14:03:00,19.86,20.6,18.9,16.46,17.200000000000003,15.499999999999998,1016,83,2.6,90,Clouds
0,2019-01-22 14:56:00,20.05,20.6,19.4,16.85,17.400000000000002,16.2,1017,84,3.6,75,Clouds
0,2019-01-22 15:56:00,19.23,20,18.3,16.63,17.4,15.700000000000001,1017,87,3.6,1,Clear
0,2019-01-22 17:08:00,18.93,19.4,18.3,16.33,16.799999999999997,15.700000000000001,1018,87,4.1,1,Clear
0,2019-01-22 17:53:00,18.9,18.9,18.9,15.499999999999998,15.499999999999998,15.499999999999998,1018,83,4.1,1,Clear
0,2019-01-22 18:56:00,23.17,24.4,21.7,18.770000000000003,20.0,17.299999999999997,1018,78,2.6,1,Clear
0,2019-01-22 19:56:00,25.6,26.1,25,19.200000000000003,19.700000000000003,18.6,1019,68,1.5,1,Clear
0,2019-01-22 20:56:00,25.87,26.1,25.6,19.47,19.700000000000003,19.200000000000003,1019,68,3.1,1,Clear
0,2019-01-22 21:56:00,26.97,27.2,26.7,19.77,20.0,19.5,1019,64,4.1,1,Clear
0,2019-01-22 22:56:00,26.7,27.2,26.1,19.9,20.4,19.3,1018,66,4.1,1,Clear
0,2019-01-22 23:56:00,26.43,26.7,26.1,19.63,19.9,19.3,1017,66,2.6,1,Clear
0,2019-01-23 00:56:00,26.2,26.7,25.6,19.799999999999997,20.299999999999997,19.200000000000003,1016,68,3.1,1,Clear
0,2019-01-23 01:56:00,26.1,26.1,26.1,17.700000000000003,17.700000000000003,17.700000000000003,1016,58,3.1,1,Clear
0,2019-01-23 02:56:00,25.6,25.6,25.6,18.0,18.0,18.0,1016,62,3.1,1,Clear
0,2019-01-23 03:56:00,25.1,26.1,23.9,18.3,19.3,17.099999999999998,1017,66,2.1,1,Clear
0,2019-01-23 04:56:00,23.3,23.3,23.3,16.5,16.5,16.5,1017,66,2.11,1,Clear
0,2019-01-23 05:56:00,21.43,21.7,21.1,17.03,17.299999999999997,16.700000000000003,1018,78,2.6,1,Clear
0,2019-01-23 06:56:00,20.6,21.1,20,16.8,17.3,16.2,1018,81,2.1,20,Clouds
0,2019-01-23 07:56:00,20.92,21.7,20,15.920000000000002,16.7,15.0,1018,75,3.1,1,Clear
0,2019-01-23 08:56:00,20.33,20.6,20,15.329999999999998,15.600000000000001,15.0,1018,75,3.6,1,Clear
0,2019-01-23 09:56:00,20,20,20,15.0,15.0,15.0,1018,75,3.6,1,Clear
0,2019-01-23 10:56:00,19.73,20,19.4,15.93,16.2,15.599999999999998,1017,81,3.1,1,Clear
0,2019-01-23 11:56:00,18.9,19.4,18.3,16.299999999999997,16.799999999999997,15.700000000000001,1017,87,2.6,1,Clear
0,2019-01-23 12:56:00,18.63,18.9,18.3,16.029999999999998,16.299999999999997,15.700000000000001,1017,87,3.1,1,Clear
0,2019-01-23 13:56:00,19.5,20,18.9,16.9,17.4,16.299999999999997,1016,87,3.6,1,Clear
0,2019-01-23 14:56:00,18.9,18.9,18.9,16.299999999999997,16.299999999999997,16.299999999999997,1017,87,4.1,1,Clear
0,2019-01-23 15:56:00,19.17,19.4,18.9,15.770000000000001,15.999999999999998,15.499999999999998,1017,83,2.6,1,Clear
0,2019-01-23 16:56:00,18.8,19.4,18.3,15.600000000000001,16.2,15.100000000000001,1017,84,4.1,20,Clouds
0,2019-01-23 17:56:00,19.4,19.4,19.4,16.2,16.2,16.2,1017,84,3.6,1,Clear
0,2019-01-23 18:56:00,23.4,23.9,22.8,18.4,18.9,17.8,1018,75,2.6,1,Clear
0,2019-01-23 19:56:00,25,25,25,18.6,18.6,18.6,1018,68,1.5,1,Haze
0,2019-01-23 20:42:00,26.7,26.7,26.7,18.7,18.7,18.7,1017,60,4.1,40,Clouds
0,2019-01-23 21:56:00,26.7,26.7,26.7,19.5,19.5,19.5,1018,64,1.5,1,Clear
0,2019-01-23 22:56:00,26.43,26.7,26.1,19.63,19.9,19.3,1017,66,4.1,1,Clear
0,2019-01-23 23:56:00,26.7,26.7,26.7,19.5,19.5,19.5,1016,64,4.6,1,Clear
0,2019-01-24 01:56:00,26.19,26.7,25.6,19.39,19.9,18.8,1016,66,3.6,1,Clear
0,2019-01-24 02:56:00,25.59,26.1,25,19.189999999999998,19.700000000000003,18.6,1016,68,3.1,1,Clear
0,2019-01-24 03:56:00,24.72,25,24.4,18.32,18.6,18.0,1016,68,3.1,1,Clear
0,2019-01-24 03:56:00,24.74,25,24.4,18.339999999999996,18.6,18.0,1016,68,3.1,1,Clear
0,2019-01-24 04:56:00,23.63,23.9,23.3,17.83,18.099999999999998,17.5,1017,71,1.06,1,Clear
0,2019-01-24 05:56:00,21.7,21.7,21.7,16.7,16.7,16.7,1018,75,2.6,1,Clear
0,2019-01-24 06:56:00,20.61,21.1,20,17.21,17.700000000000003,16.6,1018,83,2.6,1,Clear
0,2019-01-24 07:56:00,20.33,20.6,20,16.529999999999998,16.8,16.2,1018,81,3.1,1,Clear
0,2019-01-24 08:56:00,19.85,20.6,18.9,16.450000000000003,17.200000000000003,15.499999999999998,1019,83,2.6,20,Clouds
0,2019-01-24 09:56:00,20.07,20.6,19.4,16.27,16.8,15.599999999999998,1019,81,3.6,1,Clear
0,2019-01-24 10:56:00,19.25,20,18.3,16.05,16.8,15.100000000000001,1018,84,3.1,1,Clear
0,2019-01-24 11:56:00,19.51,20,18.9,16.110000000000003,16.6,15.499999999999998,1018,83,4.1,1,Clear
0,2019-01-24 12:56:00,19.18,19.4,18.9,15.78,15.999999999999998,15.499999999999998,1017,83,3.6,1,Clear
0,2019-01-24 13:56:00,19.12,19.4,18.9,15.920000000000002,16.2,15.7,1017,84,4.1,20,Clouds
0,2019-01-24 14:56:00,18.63,18.9,18.3,16.029999999999998,16.299999999999997,15.700000000000001,1017,87,3.6,1,Clear
